credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose,not.fully.paid
1.0,0.0036475409836065576,0.07736324596796003,0.5529501021220287,0.5757676902536715,0.05833333333333335,0.2182029475642901,0.057902413449520816,0.07626865671641792,0.030303030303030304,0.0,0.0,home_improvement,0
1.0,0.0009767759562841535,0.15112442805066686,0.6261253480202842,0.0,0.13750000000000007,0.39802989525304955,0.00501342185712783,0.029104477611940297,0.0,0.0,0.0,home_improvement,0
1.0,0.0014139344262295078,0.06787672936926023,0.5816959725529649,0.3781708945260347,0.125,0.3368077430165205,0.006024720070832288,0.019552238805970148,0.0,0.0,0.0,home_improvement,0
1.0,0.002274590163934426,0.155873094854349,0.6522427244070708,0.3981975967957276,0.08750000000000002,0.24740851042417084,0.05016569222575887,0.05850746268656717,0.030303030303030304,0.0,0.0,home_improvement,0
1.0,0.0014139344262295078,0.15270371131567276,0.6522427244070708,0.18524699599465952,0.10833333333333339,0.21992106222013283,0.0339037519080903,0.03925373134328358,0.0,0.0,0.0,home_improvement,0
1.0,0.0029234972677595634,0.08819107164104839,0.6673355107848722,0.0,0.054166666666666696,0.20623102917247363,0.0,0.0,0.0,0.07692307692307693,0.0,home_improvement,0
1.0,0.001195355191256831,0.15191406968316984,0.6842078089732277,0.2162883845126836,0.1166666666666667,0.29557299127629516,0.0017890287810005143,0.003432835820895522,0.030303030303030304,0.0,0.0,home_improvement,0
1.0,0.0014139344262295078,0.23751987625342086,0.6261253480202842,0.09078771695594126,0.12083333333333335,0.28767205014886416,0.019611399757652862,0.036417910447761194,0.12121212121212122,0.0,0.0,home_improvement,0
1.0,0.002486338797814208,0.06986705896351424,0.5268327257352421,0.6675567423230975,0.13333333333333341,0.27157665658302516,0.00022280034355978627,0.0056716417910447755,0.09090909090909091,0.0,0.0,home_improvement,1
1.0,0.0046448087431694,0.0739126202040088,0.40482009564998434,0.6675567423230975,0.05833333333333335,0.3042804918220105,0.0028226898544674783,0.05238805970149254,0.030303030303030304,0.0,0.0,home_improvement,1
1.0,0.001195355191256831,0.08437266758250675,0.6000079730659875,0.07142857142857142,0.125,0.46910495780585565,0.017434748074102235,0.0014925373134328358,0.0,0.0,0.0,home_improvement,0
1.0,0.0018442622950819668,0.08578969571754629,0.49956474923790006,0.4082109479305741,0.10416666666666674,0.14609701621797835,0.0030463184520925423,0.04582089552238806,0.0,0.0,0.0,home_improvement,0
1.0,0.002274590163934426,0.24227936006576745,0.5576472101908441,0.32242990654205606,0.15000000000000002,0.24912901136945909,0.10601652035558604,0.0,0.09090909090909091,0.0,0.0,home_improvement,0
1.0,0.0014139344262295078,0.32234685819983344,0.6261253480202842,0.19492656875834444,0.15000000000000002,0.29700475348949745,0.030771295033208846,0.0055223880597014925,0.0,0.0,0.0,home_improvement,0
1.0,0.0014139344262295078,0.32234685819983344,0.5447622185407328,0.10380507343124165,0.15416666666666667,0.29694748300096935,0.030771295033208846,0.0055223880597014925,0.0,0.0,0.0,home_improvement,0
1.0,0.004863387978142077,0.07524311226973295,0.4367851802161413,0.6899198931909213,0.06666666666666665,0.29042103359821253,0.014611229965569478,0.04552238805970149,0.09090909090909091,0.07692307692307693,0.0,home_improvement,0
1.0,0.002486338797814208,0.8510822417168756,0.5324510536302032,0.0267022696929239,0.09999999999999998,0.11173472310112391,0.008783634362273359,0.032985074626865674,0.030303030303030304,0.0,0.0,home_improvement,0
1.0,0.002056010928961749,0.3270847079948511,0.7129536808366537,0.09913217623497997,0.08333333333333337,0.2714645018954145,0.00039839020539872563,0.11970149253731344,0.06060606060606061,0.0,0.0,home_improvement,1
1.0,0.000765027322404372,0.08343158782870186,0.5576472101908441,0.0,1.0,0.46223249918248477,0.00030479749602230986,0.001791044776119403,0.0,0.0,0.0,home_improvement,0
1.0,0.0029234972677595634,0.4036042272869861,0.5636796379220372,0.18624833110814418,0.07083333333333341,0.2646517000500172,0.015744281526869804,0.04477611940298507,0.0,0.0,0.0,home_improvement,0
1.0,0.002486338797814208,0.14971821692429177,0.4948676411690851,0.431909212283044,0.07083333333333341,0.15978943555508304,0.0023373329722145607,0.014776119402985075,0.09090909090909091,0.0,0.0,home_improvement,0
1.0,0.0009767759562841535,0.17800469458176035,0.44136671931029703,0.07743658210947929,0.13333333333333341,0.13922933017349845,0.002194873272986742,0.009850746268656715,0.0,0.0,0.0,home_improvement,0
1.0,0.005512295081967214,0.8101614979393599,0.6110325630749724,0.12216288384512683,0.050000000000000044,0.3213470974033815,0.008906215963934505,0.07805970149253731,0.06060606060606061,0.23076923076923078,0.0,home_improvement,1
1.0,0.005293715846994537,0.9040206821205664,0.5268327257352421,0.6602136181575434,0.0625,0.1271452570940713,0.01019415103544182,0.06507462686567164,0.06060606060606061,0.0,0.0,home_improvement,1
